;OrderID;AccountID;Amount;K_SYMBOL
0;29401;1;2452.0;Household
1;29402;2;3372.7;Loan payment
2;29403;2;7266.0;Household
3;29404;3;1135.0;Household
4;29405;3;327.0;
5;29406;3;3539.0;Insurance payment
6;29407;4;2078.0;Household
7;29408;4;1285.0;Household
8;29409;5;2668.0;Household
9;29410;6;3954.0;Household
10;29411;7;4880.0;Household
11;29412;8;2612.0;Household
12;29413;8;6712.0;
13;29414;10;7033.0;Household
14;29415;10;1344.0;Leasing
15;29416;11;2132.0;Household
16;29417;12;297.0;Household
17;29418;12;3295.0;Household
18;29419;13;2444.0;Household
19;29420;14;3629.0;Household
20;29421;15;3072.0;Household
21;29422;17;4032.0;Household
22;29423;19;2523.2;Loan payment
23;29425;20;2003.0;Household
24;29426;21;6276.0;Household
25;29427;22;6352.0;Household
26;29428;23;5807.0;Household
27;29429;24;221.0;Household
28;29430;24;7641.0;
29;29431;25;2523.2;Loan payment
30;29432;25;6817.0;Household
31;29433;25;1110.0;
32;29434;25;164.0;Insurance payment
33;29435;26;10387.0;Household
34;29436;27;4054.0;Household
35;29439;29;6871.0;Household
36;29440;29;829.0;
37;29441;29;8.0;Insurance payment
38;29442;30;2480.2;Leasing
39;29443;31;10202.0;Household
40;29444;33;3892.0;Household
41;29445;34;1479.0;Leasing
42;29446;34;502.0;Household
43;29447;34;6070.0;
44;29448;35;1022.0;Household
45;29449;35;1362.0;Household
46;29450;36;4069.0;Household
47;29451;37;5307.5;Loan payment
48;29452;37;2317.0;Household
49;29453;37;2584.0;
50;29454;37;97.0;Insurance payment
51;29455;38;2306.8;Loan payment
52;29456;38;6901.0;Household
53;29457;38;231.0;
54;29458;38;228.0;Insurance payment
55;29459;39;145.0;Household
56;29460;39;2970.0;Household
57;29461;40;33.0;Household
58;29462;40;4301.0;
59;29463;42;4239.0;Household
60;29464;42;239.0;
61;29465;42;1592.0;Insurance payment
62;29466;43;6589.0;Household
63;29467;44;2344.0;Household
64;29470;47;6940.0;Household
65;29471;47;174.0;
66;29472;47;141.0;Insurance payment
67;29473;47;9.0;
68;29474;48;6268.0;Household
69;29475;48;1029.0;
70;29476;49;3102.0;Household
71;29477;50;269.0;Household
72;29478;50;7024.0;
73;29479;51;2074.0;Household
74;29480;51;2057.0;
75;29481;52;560.0;Household
76;29482;52;3723.0;
77;29483;53;2851.0;Household
78;29484;54;2280.0;Household
79;29485;55;3086.0;Household
80;29486;56;8080.0;Household
81;29487;57;4107.0;Household
82;29489;59;695.0;Household
83;29490;59;6190.0;
84;29493;61;1645.0;Household
85;29494;61;668.0;Household
86;29495;62;2273.0;Household
87;29496;63;2237.0;Household
88;29497;63;157.0;Household
89;29498;65;686.0;Household
90;29499;65;3315.0;
91;29500;65;3401.0;Insurance payment
92;29501;66;4471.3;Leasing
93;29502;67;6915.0;Loan payment
94;29503;67;6393.0;Household
95;29504;67;445.0;
96;29505;68;1705.0;Household
97;29506;68;1186.0;
98;29507;68;137.0;Insurance payment
99;29508;68;61.0;
100;29509;70;4150.0;Household
101;29510;71;968.0;Household
102;29511;71;1602.0;
103;29512;71;1011.0;Insurance payment
104;29513;71;778.0;
105;29514;72;2923.0;Leasing
106;29515;72;7109.0;Household
107;29516;72;2286.0;
108;29517;73;6061.0;Household
109;29522;75;3369.0;Household
110;29523;76;5208.0;Household
111;29524;77;1709.0;Leasing
112;29525;78;9039.0;Household
113;29526;79;2788.0;Household
114;29527;80;2252.0;Household
115;29528;81;1765.0;Household
